City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
252,Parkersburg,US,77.34,few clouds,39.2667,-81.5615,The Blennerhassett Hotel
255,Katsuura,JP,84.11,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
256,Tuy Hoa,VN,84.54,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
258,Aden,YE,83.77,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
262,Lagoa,PT,71.74,clear sky,39.05,-27.9833,Casa Das Faias
264,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
270,Kavaratti,IN,80.6,broken clouds,10.5669,72.642,Green leaf
271,Khandela,IN,77.88,overcast clouds,27.6,75.5,Castle Khandela
272,Nantucket,US,78.91,overcast clouds,41.2835,-70.0995,Jared Coffin House
273,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
274,Bolobo,CD,74.01,overcast clouds,-2.1667,16.2333,Hotel de Stephen
275,Marawi,PH,78.89,overcast clouds,7.9986,124.2928,Derogongan Residence
277,Anta,IN,80.37,overcast clouds,25.15,76.3,Agnisaman Kendra
280,Mankachar,IN,80.82,broken clouds,25.5333,89.8667,Shuhan Sahil Hussain
281,Coxim,BR,73.9,clear sky,-18.5067,-54.76,Rancho Da Curica
282,Sur,OM,80.83,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
284,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
292,Kirakira,SB,82.35,scattered clouds,-10.4544,161.9205,SanBiz Lodge
294,Tual,ID,78.49,broken clouds,-5.6667,132.75,Grand Vilia Hotel
299,Damaturu,NG,75.43,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
300,Zharkent,KZ,76.37,few clouds,44.1628,80.0,гостиница Satti
303,Jasper,US,87.85,overcast clouds,37.2001,-94.3502,Guest House Motel
305,Ouidah,BJ,76.86,overcast clouds,6.3631,2.0851,Le Jardin Secret Ouidah
307,Verkhnevilyuysk,RU,80.85,clear sky,63.4453,120.3167,Gostinitsa Mila
308,Dongkan,CN,82.96,overcast clouds,33.9997,119.8308,Triumphal Resort
310,Finschhafen,PG,82.92,scattered clouds,-6.6024,147.8681,Cossam Guest House
313,Gorgan,IR,73.36,overcast clouds,36.8387,54.4348,Khayyam Motel
314,Matara,LK,77.05,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
321,Kodinar,IN,79.12,broken clouds,20.7903,70.7031,residency of N.B vadhel
322,Mecca,SA,88.61,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
325,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
327,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
330,Nouadhibou,MR,73.38,sand,20.931,-17.0347,El Medina
333,Shenjiamen,CN,83.05,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
335,Matay,EG,80.91,overcast clouds,28.419,30.7792,Nag Aespen
339,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
345,Semnan,IR,83.39,overcast clouds,35.5729,53.3971,Semnan Tourist Hotel
349,Port Hardy,CA,75.38,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
350,Kasongo,CD,73.15,broken clouds,-4.45,26.6667,Guest Hôtel
351,Benghazi,LY,79.79,clear sky,32.1167,20.0667,Tibesti Hotel
353,Havelock,US,84.2,clear sky,34.8791,-76.9013,Sherwood Motel
354,Makakilo City,US,83.95,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
356,Deoband,IN,77.56,overcast clouds,29.7,77.6833,Anupam Hotel
357,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
360,Lafayette,US,82.92,clear sky,30.2335,-92.0668,"Drury Inn & Suites Lafayette, LA"
362,Banjar,ID,82.06,overcast clouds,-8.19,114.9675,The Hamsa Resort
364,Padang,ID,73.45,broken clouds,-0.9492,100.3543,Mercure Padang
366,Luoyang,CN,80.98,clear sky,34.6836,112.4536,易家国际青年旅舍
367,Karratha,AU,73.02,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
369,Sidi Ali,DZ,76.33,clear sky,36.0998,0.4206,Complexe touristique haje bezine
370,Bontang,ID,80.13,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
373,Sibolga,ID,76.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
375,Westport,US,82.02,overcast clouds,41.1415,-73.3579,The Westport Inn
376,Sao Joao Da Barra,BR,71.22,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
377,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
379,Samarai,PG,79.21,light rain,-10.6167,150.6667,Nuli Sapi
381,Faanui,PF,79.0,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
382,Sabha,LY,83.25,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
